Domain,Sub Domain,Product Name,Product Link,Review,Aspect1,Aspect2,Aspect3,Aspect4
Lipstick,Lakme,lakme-9-to-5-weightless-matte-mousse-lip-cheek-color,https://www.nykaa.com/lakme-9-to-5-weightless-matte-mousse-lip-cheek-color/p/73137?productId=73137&pps=1&skuId=474176,"""Heaven of nude shade❤"" This is my second puchase and i just love the formula , textut and the shade nude cushion. Just go for it girls u will never regret after buy this..",Pink,Liquid,Matte,Full Coverage
Lipstick,Lakme,lakme-9-to-5-weightless-matte-mousse-lip-cheek-color,https://www.nykaa.com/lakme-9-to-5-weightless-matte-mousse-lip-cheek-color/p/73137?productId=73137&pps=1&skuId=474176,"""Awesome shade"" I am already in love with this shade, and the brand as well. This is just amazing, second time I bought it.
With no doubt I will by it again and again, if you love dark colo...Read More",Pink,Liquid,Matte,Full Coverage
Lipstick,Lakme,lakme-9-to-5-weightless-matte-mousse-lip-cheek-color,https://www.nykaa.com/lakme-9-to-5-weightless-matte-mousse-lip-cheek-color/p/73137?productId=73137&pps=1&skuId=474176,"""What a unique shade!!"" This is a cool toned brown with purple and mauvy undertones. Suits every skin type!! And the fragrance is ammaazing! The pictures doesn't do any justice to the shade. It is e...Read More",Pink,Liquid,Matte,Full Coverage
Lipstick,Lakme,lakme-9-to-5-weightless-matte-mousse-lip-cheek-color,https://www.nykaa.com/lakme-9-to-5-weightless-matte-mousse-lip-cheek-color/p/73137?productId=73137&pps=1&skuId=474176,"""Perfect matte look."" Fuchsia suede is perfect pink color.I love pink suede. Just wow. Nice color. Long lasting matte lip color.",Pink,Liquid,Matte,Full Coverage
Lipstick,Lakme,lakme-9-to-5-weightless-matte-mousse-lip-cheek-color,https://www.nykaa.com/lakme-9-to-5-weightless-matte-mousse-lip-cheek-color/p/73137?productId=73137&pps=1&skuId=474176,"""Nude Cushion"" Bought on sale for Rs. 338. Nude Cushion is a dusty peach pink shade. It's a beautiful warm nude with a comfortable matte finish. Takes a few minutes to dry and set but after...Read More",Pink,Liquid,Matte,Full Coverage
Lipstick,Lakme,lakme-9-to-5-weightless-matte-mousse-lip-cheek-color,https://www.nykaa.com/lakme-9-to-5-weightless-matte-mousse-lip-cheek-color/p/73137?productId=73137&pps=1&skuId=474176,"""Perfect pink for dark skin tone"" Dark pink. Wonderful applicator. Love this range because of its mousse texture, transfer proof and waterproof formula. Stays for 4 hrs effortlessly. Cocoa soft shade from thi...Read More",Pink,Liquid,Matte,Full Coverage
Lipstick,Lakme,lakme-9-to-5-weightless-matte-mousse-lip-cheek-color,https://www.nykaa.com/lakme-9-to-5-weightless-matte-mousse-lip-cheek-color/p/73137?productId=73137&pps=1&skuId=474176,"""Beautiful Shade by Lakme"" This is my second pack of Lakme Burgundy Lush. Long-lasting with rich pigmentation, it does give a truly matte finish, suitable for all skin tones. The smell is chocolatey an...Read More",Pink,Liquid,Matte,Full Coverage
Lipstick,Lakme,lakme-9-to-5-weightless-matte-mousse-lip-cheek-color,https://www.nykaa.com/lakme-9-to-5-weightless-matte-mousse-lip-cheek-color/p/73137?productId=73137&pps=1&skuId=474176,"""Love it"" Loving this shade",Pink,Liquid,Matte,Full Coverage
Lipstick,Lakme,lakme-9-to-5-weightless-matte-mousse-lip-cheek-color,https://www.nykaa.com/lakme-9-to-5-weightless-matte-mousse-lip-cheek-color/p/73137?productId=73137&pps=1&skuId=474176,"""Superbbb wonderful"" Very very Nice shade clour of pink. Very light wight. M very happy  shoping from nayka. Too good Lipstick Thank you so Much nayka",Pink,Liquid,Matte,Full Coverage
Lipstick,Lakme,lakme-9-to-5-weightless-matte-mousse-lip-cheek-color,https://www.nykaa.com/lakme-9-to-5-weightless-matte-mousse-lip-cheek-color/p/73137?productId=73137&pps=1&skuId=474176,"""Best weightless lipstick"" This lipsticks has my heart in Maybelline...it's very lightweight, waterproof ,smudge proof lipistick..it stay 5-6 hours on ur lips without any Reapplication.. U can use as a...Read More",Pink,Liquid,Matte,Full Coverage
Lipstick,Lakme,lakme-9-to-5-weightless-matte-mousse-lip-cheek-color,https://www.nykaa.com/lakme-9-to-5-weightless-matte-mousse-lip-cheek-color/p/73137?productId=73137&pps=1&skuId=474176,"""Suits my skin colour"" Totally in love with this Rose Touch shade I'll definitely have more from them ??",Pink,Liquid,Matte,Full Coverage
Lipstick,Maybelline New Yor,maybelline-new-york-color-sensational-ultimattes-lipstick,https://www.nykaa.com/maybelline-new-york-color-sensational-ultimattes-lipstick/p/4317050?productId=4317050&skuId=4317041&pps=1,"""PERFECT NUDE SHADE🩷🩷🩷"" The shade is perfect if you're hunting for a nude lipstick. It's baby pink color with a tint of brown in it. The texture is matte but more towards creamy & pretty blendable✨NGL it's the one go to lipstick for me. Sadly the staying power of this lipstick is 3-4 hrs if you'll eat something it might fade away and you've to re apply. It's suitable for fair to medium skin tone💗It's the PERFECT DUPE OF CHARLOTTE TILBURY ""PILLOW TALK"" I have clicked pictures in sunlight without filter so you can it clearly.",Red,Stick,Matte,Full Coverage
Lipstick,Maybelline New Yor,maybelline-new-york-color-sensational-ultimattes-lipstick,https://www.nykaa.com/maybelline-new-york-color-sensational-ultimattes-lipstick/p/4317050?productId=4317050&skuId=4317041&pps=1,"""PERFECT NUDE SHADE🩷🩷🩷"" The shade is perfect if you're hunting for a nude lipstick. It's baby pink color with a tint of brown in it. The texture is matte but more towards creamy & pretty blendable✨N...Read More",Red,Stick,Matte,Full Coverage
Lipstick,Maybelline New Yor,maybelline-new-york-color-sensational-ultimattes-lipstick,https://www.nykaa.com/maybelline-new-york-color-sensational-ultimattes-lipstick/p/4317050?productId=4317050&skuId=4317041&pps=1,"""Pinky shade"" A perfect pink shade , this is my daily go to lipstick, gives a Matt finish look ,",Red,Stick,Matte,Full Coverage
Lipstick,Maybelline New Yor,maybelline-new-york-color-sensational-ultimattes-lipstick,https://www.nykaa.com/maybelline-new-york-color-sensational-ultimattes-lipstick/p/4317050?productId=4317050&skuId=4317041&pps=1,"""Maybelline New York"" Love this beautiful shade",Red,Stick,Matte,Full Coverage
Lipstick,Maybelline New Yor,maybelline-new-york-color-sensational-ultimattes-lipstick,https://www.nykaa.com/maybelline-new-york-color-sensational-ultimattes-lipstick/p/4317050?productId=4317050&skuId=4317041&pps=1,"""More buff"" Such a beautiful colour ❤️ will suit fair / light skin tones . Medium and dark skin tones can feel a bit washed off . It's very similar to Mac's Velvet Teddy . Pinkish brown...Read More",Red,Stick,Matte,Full Coverage
Lipstick,Maybelline New Yor,maybelline-new-york-color-sensational-ultimattes-lipstick,https://www.nykaa.com/maybelline-new-york-color-sensational-ultimattes-lipstick/p/4317050?productId=4317050&skuId=4317041&pps=1,"""Loving it"" Nice colour with a smooth formula . Didnt dry my lip , mattee colour but not transferproof . Worth its price . I will say this is one of best lipstick of Maybelline",Red,Stick,Matte,Full Coverage
Lipstick,Maybelline New Yor,maybelline-new-york-color-sensational-ultimattes-lipstick,https://www.nykaa.com/maybelline-new-york-color-sensational-ultimattes-lipstick/p/4317050?productId=4317050&skuId=4317041&pps=1,"""More blush"" Very nice texture of lipstick,,,i m loving it",Red,Stick,Matte,Full Coverage
Lipstick,Maybelline New Yor,maybelline-new-york-color-sensational-ultimattes-lipstick,https://www.nykaa.com/maybelline-new-york-color-sensational-ultimattes-lipstick/p/4317050?productId=4317050&skuId=4317041&pps=1,"""Amazing"" Its a pink nude colorr. Suitable for light to medium skin tone. Will washout dusky skintine. I am mac nc40 and Maybelline 228 soft tan skin tone . Pictures are clicked in nat...Read More",Red,Stick,Matte,Full Coverage
Lipstick,Maybelline New Yor,maybelline-new-york-color-sensational-ultimattes-lipstick,https://www.nykaa.com/maybelline-new-york-color-sensational-ultimattes-lipstick/p/4317050?productId=4317050&skuId=4317041&pps=1,"""More blush"" the colour and finish is to die for. The smell though is something extremely annoying - smells almost like laundry soap",Red,Stick,Matte,Full Coverage
Lipstick,Maybelline New Yor,maybelline-new-york-color-sensational-ultimattes-lipstick,https://www.nykaa.com/maybelline-new-york-color-sensational-ultimattes-lipstick/p/4317050?productId=4317050&skuId=4317041&pps=1,"""Almost MLBB shade"" I don't have many words to say. This shade is soo perfect. It has strong pink side and little brown undertone. But i wish the pink side were less. It lasts for 4 hours even a...Read More",Red,Stick,Matte,Full Coverage
Lipstick,Maybelline New Yor,maybelline-new-york-color-sensational-ultimattes-lipstick,https://www.nykaa.com/maybelline-new-york-color-sensational-ultimattes-lipstick/p/4317050?productId=4317050&skuId=4317041&pps=1,"""Good"" Its soft, smooth, glides easily.. go for it. One can take an idea about the length of the lipstick",Red,Stick,Matte,Full Coverage
Lipstick,Maybelline New Yor,maybelline-new-york-color-sensational-ultimattes-lipstick,https://www.nykaa.com/maybelline-new-york-color-sensational-ultimattes-lipstick/p/4317050?productId=4317050&skuId=4317041&pps=1,"""More taupe"" What can you ask for if you having a wonderful shade.
Dupe of Mac More taupe",Red,Stick,Matte,Full Coverage
Lipstick,Maybelline New Yor,maybelline-new-york-color-sensational-ultimattes-lipstick,https://www.nykaa.com/maybelline-new-york-color-sensational-ultimattes-lipstick/p/4317050?productId=4317050&skuId=4317041&pps=1,"""Super colour lipstick ❤️"" It's super cool colour
Suitable for all skin tone 😍😍
Must buy 👍🏻",Red,Stick,Matte,Full Coverage
Lipstick,Maybelline New Yor,maybelline-new-york-color-sensational-ultimattes-lipstick,https://www.nykaa.com/maybelline-new-york-color-sensational-ultimattes-lipstick/p/4317050?productId=4317050&skuId=4317041&pps=1,"""Perfect nude shade"" This is the perfect shade for your daily wear.",Red,Stick,Matte,Full Coverage
Lipstick,Maybelline New Yor,maybelline-new-york-color-sensational-ultimattes-lipstick,https://www.nykaa.com/maybelline-new-york-color-sensational-ultimattes-lipstick/p/4317050?productId=4317050&skuId=4317041&pps=1,"""More mauve"" Lovely mauve shade ..not totally maate ..its notTransfer proof..but very comfortable on lips..shade is very nice for fair to medium skin tone..",Red,Stick,Matte,Full Coverage
Lipstick,Maybelline New Yor,maybelline-new-york-color-sensational-ultimattes-lipstick,https://www.nykaa.com/maybelline-new-york-color-sensational-ultimattes-lipstick/p/4317050?productId=4317050&skuId=4317041&pps=1,"""Awms colour"" Matte finish look. But not a dry lipstick. Just super",Red,Stick,Matte,Full Coverage
Lipstick,Maybelline New Yor,maybelline-new-york-color-sensational-ultimattes-lipstick,https://www.nykaa.com/maybelline-new-york-color-sensational-ultimattes-lipstick/p/4317050?productId=4317050&skuId=4317041&pps=1,"""Amazing color"" Amazing color. Can wear it everyday and office as well",Red,Stick,Matte,Full Coverage
Lipstick,Maybelline New Yor,maybelline-new-york-color-sensational-ultimattes-lipstick,https://www.nykaa.com/maybelline-new-york-color-sensational-ultimattes-lipstick/p/4317050?productId=4317050&skuId=4317041&pps=1,"""Bold n beautiful"" Colors are awesome.. bought three of them. Staying power is not that good but colors and formula are amazing. Haven't used them yet but tried swatches on my hand. More buff w...Read More",Red,Stick,Matte,Full Coverage
Lipstick,Maybelline New Yor,maybelline-new-york-color-sensational-ultimattes-lipstick,https://www.nykaa.com/maybelline-new-york-color-sensational-ultimattes-lipstick/p/4317050?productId=4317050&skuId=4317041&pps=1,"""Lipstick"" Color is so good  ...moisturising... Looking very beautiful  ...",Red,Stick,Matte,Full Coverage
Lipstick,Maybelline New Yor,maybelline-new-york-color-sensational-ultimattes-lipstick,https://www.nykaa.com/maybelline-new-york-color-sensational-ultimattes-lipstick/p/4317050?productId=4317050&skuId=4317041&pps=1,"""MORE MAUVE"" Beautiful nude shade.",Red,Stick,Matte,Full Coverage
Lipstick,Maybelline New Yor,maybelline-new-york-color-sensational-ultimattes-lipstick,https://www.nykaa.com/maybelline-new-york-color-sensational-ultimattes-lipstick/p/4317050?productId=4317050&skuId=4317041&pps=1,"""Amazing"" The lipstick texture is soft matte creamy. Very pigmented. Appropriate for formal or daytime looks.",Red,Stick,Matte,Full Coverage
Lipstick,M.A.C,m-a-c-powder-kiss-lipstick,https://www.nykaa.com/m-a-c-powder-kiss-lipstick/p/377929?productId=377929&skuId=1119497&pps=1,"""Burning love shade powder kiss by Mac"" Attaching some without filter pics for exact shade recognition...Overall the lipstick looks sleek,classy,it's also light weight on lips doens't feel like u have applied anything,but it's transferrable and doesn't last long,has a mild fragrance quantity is lil less compared to price,it gives u a blurr effect on lips",Nude,Stick,Creme,Medium Coverage
Lipstick,M.A.C,m-a-c-powder-kiss-lipstick,https://www.nykaa.com/m-a-c-powder-kiss-lipstick/p/377929?productId=377929&skuId=1119497&pps=1,"""Burning love shade powder kiss by Mac"" Attaching some without filter pics for exact shade recognition...Overall the lipstick looks sleek,classy,it's also light weight on lips doens't feel like u have applied anyth...Read More",Nude,Stick,Creme,Medium Coverage
Lipstick,M.A.C,m-a-c-powder-kiss-lipstick,https://www.nykaa.com/m-a-c-powder-kiss-lipstick/p/377929?productId=377929&skuId=1119497&pps=1,"""I love MAC"" M.A.C lipsticks are something which I love a lot. It is beautiful color. I love the texture. It is creamy and smooth.",Nude,Stick,Creme,Medium Coverage
Lipstick,M.A.C,m-a-c-powder-kiss-lipstick,https://www.nykaa.com/m-a-c-powder-kiss-lipstick/p/377929?productId=377929&skuId=1119497&pps=1,"""Gorgeous Nude for fair-medium skins"" Love this formula, and the shade can be described as dirty peachy nude. I use it for daily office use. I am also adding swatches of my other 2 favourite shades as well. So le...Read More",Nude,Stick,Creme,Medium Coverage
Lipstick,M.A.C,m-a-c-powder-kiss-lipstick,https://www.nykaa.com/m-a-c-powder-kiss-lipstick/p/377929?productId=377929&skuId=1119497&pps=1,"""Stay Curious"" Lips look natural pink after application. Texture is super light almost like talcum powder. I’m uploading swatches under both natural light as well as with the Chrome filter....Read More",Nude,Stick,Creme,Medium Coverage
Lipstick,M.A.C,m-a-c-powder-kiss-lipstick,https://www.nykaa.com/m-a-c-powder-kiss-lipstick/p/377929?productId=377929&skuId=1119497&pps=1,"""What a beauty ❤️❤️"" This shade is absolutely beautiful and looks stunning on my dusky skin tone. Looks sooo pretty and chic and sets a romantic vibe around💜 really worth every penny. The formul...Read More",Nude,Stick,Creme,Medium Coverage
Lipstick,M.A.C,m-a-c-powder-kiss-lipstick,https://www.nykaa.com/m-a-c-powder-kiss-lipstick/p/377929?productId=377929&skuId=1119497&pps=1,"""beautiful shade !!!"" I m in love with this colour ❣️ It’s such a unique shade which goes with every skin tone . It’s texture is so good different from other lipsticks 💄 worth every penny ❤️",Nude,Stick,Creme,Medium Coverage
Lipstick,M.A.C,m-a-c-powder-kiss-lipstick,https://www.nykaa.com/m-a-c-powder-kiss-lipstick/p/377929?productId=377929&skuId=1119497&pps=1,"""Love at first sight"" There is this thing about mac.Everytime I order it I sort of feel guilty as to why I spent so much.I could have got 4 lipsticks from an ordinary brand at the cost of one lips...Read More",Nude,Stick,Creme,Medium Coverage
Lipstick,M.A.C,m-a-c-powder-kiss-lipstick,https://www.nykaa.com/m-a-c-powder-kiss-lipstick/p/377929?productId=377929&skuId=1119497&pps=1,"""Very beautiful deep orange brown color"" I wanted this specific color for a long time. It's a beautiful deep brick (orange brown)color . On my pigmented lips they look darker than usual but still it's a very nice sh...Read More",Nude,Stick,Creme,Medium Coverage
Lipstick,M.A.C,m-a-c-powder-kiss-lipstick,https://www.nykaa.com/m-a-c-powder-kiss-lipstick/p/377929?productId=377929&skuId=1119497&pps=1,"""Beautiful mauve shade"" I just like it a lot. It's a beautiful mauve color and it's lighter on lips than in bullet. Formula is great!",Nude,Stick,Creme,Medium Coverage
Lipstick,M.A.C,m-a-c-powder-kiss-lipstick,https://www.nykaa.com/m-a-c-powder-kiss-lipstick/p/377929?productId=377929&skuId=1119497&pps=1,"""Suitable for every skin tone"" I am in range 40-42 in mac and this lipstick shade suits me very well. I purchased it in Hot pink sale and trust me it is super. I wish I could get some freebies but its okay...Read More",Nude,Stick,Creme,Medium Coverage
Lipstick,M.A.C,m-a-c-powder-kiss-lipstick,https://www.nykaa.com/m-a-c-powder-kiss-lipstick/p/377929?productId=377929&skuId=1119497&pps=1,"""Beautiful brown shade"" Left: After 1 swatch
Right: After 2-3 swatches 
Pic1: With flash
Pic2: Under indoor white light 
Pic3: Under sunlight",Nude,Stick,Creme,Medium Coverage
Lipstick,M.A.C,m-a-c-powder-kiss-lipstick,https://www.nykaa.com/m-a-c-powder-kiss-lipstick/p/377929?productId=377929&skuId=1119497&pps=1,"""Nice"" Brownish red colour on my skin tone..glides like butter,not transferproof or longlasting..go for it if u want a mac in your collection",Nude,Stick,Creme,Medium Coverage
Lipstick,M.A.C,m-a-c-powder-kiss-lipstick,https://www.nykaa.com/m-a-c-powder-kiss-lipstick/p/377929?productId=377929&skuId=1119497&pps=1,"""Beautiful colour"" It is a beautiful colour and quite pigmented so easily covers my pigmented lips. It is a comfortable formula and even though it is matte it doesn’t dry out my lips and stays...Read More",Nude,Stick,Creme,Medium Coverage
Lipstick,M.A.C,m-a-c-powder-kiss-lipstick,https://www.nykaa.com/m-a-c-powder-kiss-lipstick/p/377929?productId=377929&skuId=1119497&pps=1,""". Buttery soft aplication."" The pigment is fuscia like . Buttery soft aplication. The colour will suit mostly fair skin tones with both pink and yellow undertones.",Nude,Stick,Creme,Medium Coverage
Lipstick,M.A.C,m-a-c-powder-kiss-lipstick,https://www.nykaa.com/m-a-c-powder-kiss-lipstick/p/377929?productId=377929&skuId=1119497&pps=1,"""Amazing formula! Gorgeous spring shade ♥️"" I can easily say this is the most comfortable and beautiful matte formula in market. M.A.C. came back with a bang with this one 🤩👌

The lipstick has soft matte finish and...Read More",Nude,Stick,Creme,Medium Coverage
Lipstick,M.A.C,m-a-c-powder-kiss-lipstick,https://www.nykaa.com/m-a-c-powder-kiss-lipstick/p/377929?productId=377929&skuId=1119497&pps=1,"""Finally A MAC lipstick in my collection!❤"" I was so mesmerized by this particular shade...it is that perfect pink. It will suit every skin tone....EVERY..EACH AND EVERY INDIAN SKIN TONE. I still can not believe that I...Read More",Nude,Stick,Creme,Medium Coverage
Lipstick,M.A.C,m-a-c-powder-kiss-lipstick,https://www.nykaa.com/m-a-c-powder-kiss-lipstick/p/377929?productId=377929&skuId=1119497&pps=1,"""Another awesome shade from MAC... BURNING LOVE ❤️"" Another awesome shade from MAC...would look lovely on all skin tones...highly pigmented...has smooth texture and is very comfortable on lips...long lasting and leaves a beaut...Read More",Nude,Stick,Creme,Medium Coverage
Lipstick,M.A.C,m-a-c-powder-kiss-lipstick,https://www.nykaa.com/m-a-c-powder-kiss-lipstick/p/377929?productId=377929&skuId=1119497&pps=1,"""Nice burnt brick red."" The mac lipsticks formulations are always amazing. 
Weightless.  Buildable coverage, doesn't look patchy.
It smells like Vanilla cake....I love it . 

And thank you very...Read More",Nude,Stick,Creme,Medium Coverage
Lipstick,M.A.C,m-a-c-powder-kiss-lipstick,https://www.nykaa.com/m-a-c-powder-kiss-lipstick/p/377929?productId=377929&skuId=1119497&pps=1,"""Love the formulation"" It's so light weight. And the colour ???",Nude,Stick,Creme,Medium Coverage
Lipstick,M.A.C,m-a-c-powder-kiss-lipstick,https://www.nykaa.com/m-a-c-powder-kiss-lipstick/p/377929?productId=377929&skuId=1119497&pps=1,"""Devoted to Chili- I am in love with this color"" I absolutely love this shade…,it’s funky and keeps the lips moist and matches my medium skin tone completely…❤️❤️❤️❤️❤️",Nude,Stick,Creme,Medium Coverage
Lipstick,Nykaa Fashion,nykaa-paintstix-lipstick,https://www.nykaa.com/nykaa-paintstix-lipstick/p/114009?productId=114009&pps=1&skuId=1124804,"""Sweet honeymoon 18"" This lipstick is so smooth and gives you a nude lips look and high-pigmented. I'm loving this color. I'm gonna buy it again. Thank you nykaa for this beautiful shade. Guys must buy it ?",Nude,Mousse,Glossy,Full Coverage
Lipstick,Nykaa Fashion,nykaa-paintstix-lipstick,https://www.nykaa.com/nykaa-paintstix-lipstick/p/114009?productId=114009&pps=1&skuId=1124804,"""Sweet honeymoon 18"" This lipstick is so smooth and gives you a nude lips look and high-pigmented. I'm loving this color. I'm gonna buy it again. Thank you nykaa for this beautiful shade. Guys mu...Read More",Nude,Mousse,Glossy,Full Coverage
Lipstick,Nykaa Fashion,nykaa-paintstix-lipstick,https://www.nykaa.com/nykaa-paintstix-lipstick/p/114009?productId=114009&pps=1&skuId=1124804,"""OMG??????????????"" I’m OBSESSED with this color. Goes with every skin tone. ?
Thank you NYKAA.",Nude,Mousse,Glossy,Full Coverage
Lipstick,Nykaa Fashion,nykaa-paintstix-lipstick,https://www.nykaa.com/nykaa-paintstix-lipstick/p/114009?productId=114009&pps=1&skuId=1124804,"""Wow"" I really love the color. It goes with a lot of skin tones too. ???????????????",Nude,Mousse,Glossy,Full Coverage
Lipstick,Nykaa Fashion,nykaa-paintstix-lipstick,https://www.nykaa.com/nykaa-paintstix-lipstick/p/114009?productId=114009&pps=1&skuId=1124804,"""Such a pretty color!"" The color for this lipstick is beautiful. A perfect brownish nude. It suits the best for medium skin tone. You can go for this without a second thought.",Nude,Mousse,Glossy,Full Coverage
Lipstick,Nykaa Fashion,nykaa-paintstix-lipstick,https://www.nykaa.com/nykaa-paintstix-lipstick/p/114009?productId=114009&pps=1&skuId=1124804,"""Love"" I'm in love with this color. It is a mixture of peach, pink and orange.. stay is like Maybelline creamy matte smudges somehow although also depends on how you eat and carry y...Read More",Nude,Mousse,Glossy,Full Coverage
Lipstick,Nykaa Fashion,nykaa-paintstix-lipstick,https://www.nykaa.com/nykaa-paintstix-lipstick/p/114009?productId=114009&pps=1&skuId=1124804,"""Loving it."" This is the first time over bought a lipstick from Nykaa and that was from Nykaa's range of lipstick. This one is amazing. I am a sucker for nude lipsticks. This shade blew m...Read More",Nude,Mousse,Glossy,Full Coverage
Lipstick,Nykaa Fashion,nykaa-paintstix-lipstick,https://www.nykaa.com/nykaa-paintstix-lipstick/p/114009?productId=114009&pps=1&skuId=1124804,"""Perfect brown"" The formula is great, it becomes matte after some time of application stays for 5 to 6 hours its very good product ,easy to carry must hve this shade if u r medium to drk ski...Read More",Nude,Mousse,Glossy,Full Coverage
Lipstick,Nykaa Fashion,nykaa-paintstix-lipstick,https://www.nykaa.com/nykaa-paintstix-lipstick/p/114009?productId=114009&pps=1&skuId=1124804,"""Nice colour 👌"" 💝👍💕🥺",Nude,Mousse,Glossy,Full Coverage
Lipstick,Nykaa Fashion,nykaa-paintstix-lipstick,https://www.nykaa.com/nykaa-paintstix-lipstick/p/114009?productId=114009&pps=1&skuId=1124804,"""Beautiful red maroon shade"" Haven't put it on for long time yet but I'm in absolute love with the shade ?",Nude,Mousse,Glossy,Full Coverage
Lipstick,Nykaa Fashion,nykaa-paintstix-lipstick,https://www.nykaa.com/nykaa-paintstix-lipstick/p/114009?productId=114009&pps=1&skuId=1124804,"""Nykaa"" it's  awesome  and for Daily  use , amazing ?",Nude,Mousse,Glossy,Full Coverage
Lipstick,Nykaa Fashion,nykaa-paintstix-lipstick,https://www.nykaa.com/nykaa-paintstix-lipstick/p/114009?productId=114009&pps=1&skuId=1124804,"""Wow"" Omg ....this lipstick is amazing because it has the great texture. It is very comfortable you will never feel that you are wearing anything on your lips and also i love the fragrance.",Nude,Mousse,Glossy,Full Coverage
Lipstick,Nykaa Fashion,nykaa-paintstix-lipstick,https://www.nykaa.com/nykaa-paintstix-lipstick/p/114009?productId=114009&pps=1&skuId=1124804,"""Excellent"" Must buy Shade",Nude,Mousse,Glossy,Full Coverage
Lipstick,Nykaa Fashion,nykaa-paintstix-lipstick,https://www.nykaa.com/nykaa-paintstix-lipstick/p/114009?productId=114009&pps=1&skuId=1124804,"""Beautiful shade"" Love with texture
Beautiful nude shade 
Worth buying 😍😍",Nude,Mousse,Glossy,Full Coverage
Lipstick,Nykaa Fashion,nykaa-paintstix-lipstick,https://www.nykaa.com/nykaa-paintstix-lipstick/p/114009?productId=114009&pps=1&skuId=1124804,"""Beautiful shade ❤️"" I loved it texture, it's nice shade 
Best shade for fair skin type
2nd time purchased 😍",Nude,Mousse,Glossy,Full Coverage
